nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
94,285000,735,NULL,NULL,95,0,1,360,60,11/19/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,90650
95,427500,705,NULL,NULL,89.06,0,2,360,60,11/30/04,12/1/34,Purchase,Owner,LimitedDocs,Multi,93454
96,195500,710,NULL,NULL,85,0,1,360,NULL,11/19/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,SingleFamily,95824
97,300000,683,NULL,NULL,59.41,0,1,360,NULL,11/23/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91405
98,307500,610,NULL,NULL,56.94,0,1,360,60,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,92806
99,253000,609,NULL,NULL,63.89,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91331
100,266250,563,NULL,NULL,75,0,1,360,NULL,12/1/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,90262
101,65000,628,NULL,NULL,79.6,79.6,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,93551
102,250000,602,NULL,NULL,58.82,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,91605
103,253500,763,NULL,NULL,65,0,1,360,60,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,91342
104,171000,599,NULL,NULL,58.97,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,90033
105,248000,712,NULL,NULL,80,100,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,LimitedDocs,PUD,93060
106,175000,680,NULL,NULL,61.4,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,SingleFamily,93543
107,233750,681,NULL,NULL,85,0,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,LimitedDocs,Condo,91724
108,56865,659,NULL,NULL,85,0,1,360,NULL,8/23/04,9/1/34,RefiWithCash,NotOwner,AllDocs,SingleFamily,61081
109,80100,654,NULL,NULL,90,0,1,360,NULL,8/9/04,9/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,61109
110,243000,642,NULL,NULL,86.79,0,1,360,NULL,8/11/04,9/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,60477
111,224000,689,NULL,NULL,80,0,2,360,NULL,8/24/04,9/1/34,RefiWithCash,NotOwner,LimitedDocs,Multi,60623
112,156000,551,NULL,NULL,60,0,1,360,NULL,8/17/04,9/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,60463
113,185250,681,NULL,NULL,95,0,2,360,NULL,9/21/04,10/1/34,Purchase,NotOwner,AllDocs,Multi,60617
114,54400,508,NULL,NULL,80,0,1,360,NULL,9/15/04,10/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,61101
115,70000,524,NULL,NULL,56,0,1,180,NULL,10/15/04,11/1/19,RefiWithCash,Owner,LimitedDocs,SingleFamily,60411
116,213750,511,NULL,NULL,75,0,1,360,NULL,9/17/04,10/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,47403
117,200000,529,NULL,NULL,80,0,2,360,NULL,10/1/04,11/1/34,Refi,Owner,AllDocs,Multi,60651
118,271150,595,NULL,NULL,85,0,1,360,NULL,10/25/04,11/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,60030
119,180500,599,NULL,NULL,95,0,1,360,NULL,10/29/04,11/1/34,Purchase,Owner,AllDocs,SingleFamily,60115
120,180000,610,NULL,NULL,75,0,1,360,NULL,10/20/04,11/1/34,RefiWithCash,Owner,LimitedDocs,Condo,60612
