bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
768,3.99,265500,9/1/16,NO,BROKER,5988031139,FRM,REFINANCE,LA,Aug-46,2,1,22,3.99,360,94,265500,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
791,4.125,205119.35,7/1/16,NO,RETAIL,5988031140,FRM,PURCHASE,TX,Jun-46,1,1,22,4.125,360,85,205700,PRINCIPAL,SF,"PINGORALOANSERVICING,LLC"
670,4.25,200000,9/1/16,NO,BROKER,5988031141,FRM,PURCHASE,KY,Aug-46,2,1,39,4.25,360,80,200000,PRINCIPAL,SF,MATRIXFINANCIALSERVICESCORPORATION
771,3.875,255732.04,6/1/16,NO,CORRESPONDENT,5988031144,FRM,REFINANCE,TX,May-46,2,1,32,3.875,360,71,256489,PRINCIPAL,PUD,"BOKF,NATIONALASSOCIATION"
750,3.375,110000,9/1/16,NO,RETAIL,5988031147,FRM,REFINANCE,ID,Aug-46,2,1,24,3.375,360,74,110000,PRINCIPAL,SF,POTLATCHNO.1FEDERALCREDITUNION
791,3.625,332500,9/1/16,NO,RETAIL,5988031151,FRM,REFINANCE,CA,Aug-46,1,1,28,3.625,360,77,332500,PRINCIPAL,CONDO,"MERIWESTMORTGAGECOMPANY,LLC"
791,3.625,234500,9/1/16,NO,RETAIL,5988031152,FRM,PURCHASE,TX,Aug-46,1,1,27,3.625,360,75,234500,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
785,3.99,170000,9/1/16,NO,RETAIL,5988031155,FRM,PURCHASE,TX,Aug-46,1,1,47,3.99,360,50,170000,PRINCIPAL,PUD,EVERETTFINANCIALINCDBASUPREMELENDIN
772,3.625,362000,9/1/16,NO,RETAIL,5988031156,FRM,REFINANCE,CO,Aug-46,2,1,37,3.625,360,64,362000,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
797,4.25,118500,9/1/16,NO,BROKER,5988031157,FRM,PURCHASE,UT,Aug-46,1,2,26,4.25,360,75,118500,INVESTOR,SF,MATRIXFINANCIALSERVICESCORPORATION
695,4.5,285000,9/1/16,NO,RETAIL,5988031159,FRM,REFINANCE,CA,Aug-46,2,1,22,4.5,360,77,285000,PRINCIPAL,SF,THEGOLDEN1CREDITUNION
654,4,70000,9/1/16,NO,RETAIL,5988031160,FRM,PURCHASE,CA,Aug-46,2,1,33,4,360,64,70000,PRINCIPAL,CONDO,THEGOLDEN1CREDITUNION
762,3.875,300000,9/1/16,NO,RETAIL,5988031161,FRM,REFINANCE,CA,Aug-46,1,1,33,3.875,360,72,300000,PRINCIPAL,PUD,THEGOLDEN1CREDITUNION
774,3.625,336000,9/1/16,NO,RETAIL,5988031162,FRM,PURCHASE,TX,Aug-46,2,1,41,3.625,360,80,336000,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
669,4.25,376500,9/1/16,NO,RETAIL,5988031165,FRM,REFINANCE,CA,Aug-46,2,1,41,4.25,360,77,376500,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
667,3.999,410000,9/1/16,NO,BROKER,5988031168,FRM,REFINANCE,CA,Aug-46,2,1,31,3.999,360,65,410000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
800,3.999,178000,9/1/16,NO,BROKER,5988031169,FRM,REFINANCE,CA,Aug-46,3,1,41,3.999,360,57,178000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
700,3.999,264000,9/1/16,NO,BROKER,5988031170,FRM,REFINANCE,CA,Aug-46,2,1,34,3.999,360,80,264000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
788,3.625,379400,9/1/16,NO,RETAIL,5988031171,FRM,REFINANCE,CA,Aug-46,1,1,38,3.625,360,74,379400,PRINCIPAL,CONDO,CENTRALMORTGAGECOMPANY
806,3.625,290000,9/1/16,NO,RETAIL,5988031173,FRM,REFINANCE,CA,Aug-46,2,1,36,3.625,360,60,290000,SECOND,CONDO,CENTRALMORTGAGECOMPANY
727,3.75,417000,9/1/16,NO,RETAIL,5988031174,FRM,REFINANCE,CA,Aug-46,2,1,40,3.75,360,68,417000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
806,3.75,185000,9/1/16,YES,RETAIL,5988031175,FRM,PURCHASE,CA,Aug-46,1,1,47,3.75,360,79,185000,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
