nb_loan_number nb_original_balance nb_original_fico nb_debt_ratio nb_original_rate nb_original_ltv nb_original_cltv nb_unit_count nb_original_term nb_io_term nb_origination_date nb_maturity_date nb_purpose_code nb_occupancy_code nb_documentation_type_code nb_property_type_code nb_property_zip_code
125 211817.60 554 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-30 2034-12-01 Purchase Owner LimitedDocs Condo 60047
126 186000.00 503 NULL NULL 60.0000 0.0000 1 360 NULL 2004-11-17 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 60142
127 251750.00 606 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 60188
128 124800.00 644 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-29 2034-12-01 Purchase Owner LimitedDocs Condo 60561
129 62400.00 604 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 47338
130 183200.00 520 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 60482
131 157000.00 641 NULL NULL 82.6300 0.0000 1 360 60 2004-12-20 2035-01-01 RefiWithCash Owner LimitedDocs SingleFamily 49319
132 50250.00 NULL NULL NULL 75.0000 0.0000 2 360 NULL 2004-12-22 2035-01-01 RefiWithCash Owner AllDocs Multi 46205
133 112000.00 NULL NULL NULL 80.0000 0.0000 1 360 NULL 2004-08-17 2034-09-01 Purchase Owner AllDocs SingleFamily 30701
134 64600.00 609 NULL NULL 95.0000 0.0000 1 360 NULL 2004-09-27 2034-10-01 Purchase Owner AllDocs SingleFamily 31404
135 202800.00 551 NULL NULL 62.4000 91.7700 1 360 NULL 2004-11-16 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 30576
136 145120.00 636 NULL NULL 80.0000 100.0000 1 360 NULL 2004-12-06 2034-12-01 Purchase Owner AllDocs SingleFamily 30116
137 123500.00 617 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-03 2034-11-01 RefiWithCash Owner AllDocs SingleFamily 30161
138 111200.00 583 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-15 2034-12-01 Purchase Owner AllDocs PUD 30052
139 50000.00 679 NULL NULL 79.3700 0.0000 1 360 NULL 2004-11-23 2034-12-01 RefiWithCash NotOwner LimitedDocs Condo 30012
140 220000.00 664 NULL NULL 80.0000 0.0000 1 360 60 2004-12-08 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 30043
141 66750.00 630 NULL NULL 75.0000 0.0000 1 360 NULL 2004-11-17 2034-12-01 RefiWithCash NotOwner LimitedDocs SingleFamily 31404
142 50000.00 584 NULL NULL 89.2900 0.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 30161
143 100000.00 611 NULL NULL 84.0300 0.0000 1 360 NULL 2004-11-23 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 30680
144 51850.00 568 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 37096
145 118750.00 557 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 30157
146 180000.00 500 NULL NULL 90.0000 0.0000 1 360 NULL 2004-11-24 2034-12-01 RefiWithCash Owner AllDocs PUD 30039
147 123250.00 617 NULL NULL 85.0000 0.0000 1 360 NULL 2004-11-23 2034-12-01 RefiWithCash NotOwner LimitedDocs SingleFamily 30315
148 117128.00 651 NULL NULL 80.0000 100.0000 1 360 60 2004-11-30 2034-12-01 Purchase Owner AllDocs SingleFamily 30349
149 142200.00 751 NULL NULL 90.0000 0.0000 1 360 NULL 2004-11-23 2034-12-01 Purchase NotOwner LimitedDocs SingleFamily 30045
150 130400.00 653 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-30 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 30294
151 198000.00 761 NULL NULL 90.0000 0.0000 4 360 NULL 2004-11-29 2034-12-01 RefiWithCash NotOwner AllDocs Multi 30083
152 356150.00 675 NULL NULL 85.0000 0.0000 1 360 60 2004-12-22 2035-01-01 RefiWithCash Owner LimitedDocs SingleFamily 31522
153 80000.00 608 NULL NULL 38.1000 0.0000 1 180 NULL 2004-08-05 2019-09-01 RefiWithCash Owner AllDocs SingleFamily 44060
154 118750.00 602 NULL NULL 95.0000 0.0000 1 360 NULL 2004-10-04 2034-10-01 RefiWithCash Owner AllDocs SingleFamily 43623
155 60000.00 533 NULL NULL 64.5200 0.0000 3 360 NULL 2004-10-01 2034-11-01 RefiWithCash NotOwner AllDocs Multi 15301
156 147600.00 677 NULL NULL 90.0000 0.0000 1 360 NULL 2004-09-27 2034-10-01 RefiWithCash Owner LimitedDocs SingleFamily 45817
157 112000.00 634 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-30 2034-12-01 Purchase Owner AllDocs SingleFamily 41005
158 104240.00 636 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-05 2034-12-01 Purchase Owner LimitedDocs SingleFamily 15685
159 60210.00 648 NULL NULL 89.9600 0.0000 1 360 NULL 2004-11-29 2034-12-01 Purchase NotOwner LimitedDocs SingleFamily 44123
160 58500.00 581 NULL NULL 90.0000 0.0000 1 360 NULL 2004-11-15 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 16323
161 139200.00 620 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-19 2034-12-01 Purchase Owner AllDocs SingleFamily 44077
162 92000.00 655 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-30 2034-12-01 Purchase Owner LimitedDocs SingleFamily 48180
163 135600.00 682 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-19 2034-12-01 Purchase Owner AllDocs Condo 45242
164 76400.00 609 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-09 2034-11-01 Purchase Owner AllDocs SingleFamily 43614
165 50000.00 560 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-16 2034-12-01 Purchase Owner AllDocs SingleFamily 43968
166 68875.00 767 NULL NULL 95.0000 0.0000 1 360 NULL 2004-11-23 2034-12-01 Purchase NotOwner AllDocs SingleFamily 16509
167 170000.00 623 NULL NULL 85.0000 0.0000 4 360 NULL 2004-11-24 2034-12-01 RefiWithCash NotOwner AllDocs Multi 45223
168 55000.00 596 NULL NULL 67.0700 0.0000 1 360 NULL 2004-11-15 2034-12-01 Purchase Owner LimitedDocs SingleFamily 44055
169 108000.00 591 NULL NULL 90.0000 0.0000 1 360 NULL 2004-11-17 2034-12-01 RefiWithCash Owner AllDocs SingleFamily 43227
170 84000.00 662 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-29 2034-12-01 Purchase Owner AllDocs SingleFamily 16314
171 129600.00 555 NULL NULL 80.0000 0.0000 1 360 NULL 2004-12-02 2035-01-01 Purchase Owner AllDocs SingleFamily 43551
172 80000.00 641 NULL NULL 80.0000 0.0000 1 360 NULL 2004-11-29 2034-12-01 RefiWithCash Owner LimitedDocs SingleFamily 45150
173 161600.00 621 NULL NULL 80.0000 100.0000 1 360 NULL 2004-11-24 2034-12-01 Purchase Owner AllDocs SingleFamily 44147
174 110400.00 603 NULL NULL 80.0000 100.0000 1 360 NULL 2004-12-01 2034-12-01 Purchase Owner AllDocs SingleFamily 45157
