,Borrower_id,CrntRgstn_st,DRP_hasBankrupt,DRP_hasBond,DRP_hasCivilJudc,DRP_hasCriminal,DRP_hasCustComp,DRP_hasInvstgn,DRP_hasJudgment,DRP_hasRegAction,DRP_hasTermination,Info_actvAGReg,Score,reliable
1694,95154,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1695,95180,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1696,95198,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1697,95203,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1698,95214,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1699,95222,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1700,95229,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0,1,4588.920089,yes
1701,95276,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1702,95303,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1703,95341,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1704,95417,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1705,95451,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1706,95457,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1707,95552,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1708,95567,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1709,95600,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1710,95601,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1711,95608,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1712,95623,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
1713,95658,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1,0,4588.920089,yes
